,Plant ID,treatment,Year,infl1,infl2,infl3,infl4,infl5,infl6,infl7,infl8,infl9,infl10,infl11,infl12,infl13,infl14,infl15,infl16,infl17,infl18
1,SESS01,Autogamy,2021,0,0,0,,,,,,,,,,,,,,,
2,SESS02,Autogamy,2021,0,,,,,,,,,,,,,,,,,
3,SESS03,Autogamy,2021,0,0,0,0,,,,,,,,,,,,,,
4,SESS04,Autogamy,2021,0,0,0,0,,,,,,,,,,,,,,
5,SESS05,Autogamy,2021,0,0,0,0,,,,,,,,,,,,,,
6,SESS06,Autogamy,2021,,,,,,,,,,,,,,,,,,
7,SESS07,Autogamy,2021,,,,,,,,,,,,,,,,,,
8,SESS08,Autogamy,2021,1,0,0,0,,,,,,,,,,,,,,
9,SESS01,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
10,SESS02,Geitonogamy,2021,0,,,,,,,,,,,,,,,,,
11,SESS03,Geitonogamy,2021,2,1,,,,,,,,,,,,,,,,
12,SESS04,Geitonogamy,2021,0,,,,,,,,,,,,,,,,,
13,SESS05,Geitonogamy,2021,0,0,,,,,,,,,,,,,,,,
14,SESS06,Geitonogamy,2021,5,2,,,,,,,,,,,,,,,,
15,SESS07,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
16,SESS08,Geitonogamy,2021,1,,,,,,,,,,,,,,,,,
25,SESS01,Pollen suppl.,2021,2,0,,,,,,,,,,,,,,,,
26,SESS02,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
27,SESS03,Pollen suppl.,2021,3,0,0,,,,,,,,,,,,,,,
28,SESS04,Pollen suppl.,2021,0,,,,,,,,,,,,,,,,,
29,SESS05,Pollen suppl.,2021,4,,,,,,,,,,,,,,,,,
30,SESS06,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
31,SESS07,Pollen suppl.,2021,3,3,0,,,,,,,,,,,,,,,
17,SESS08,Pollen suppl.,2021,3,,,,,,,,,,,,,,,,,
18,SESS01,Open,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
19,SESS02,Open,2021,1,1,0,1,0,0,0,0,,,,,,,,,,
20,SESS03,Open,2021,2,2,3,2,5,5,2,4,2,3,2,2,2,2,2,2,2,1
21,SESS04,Open,2021,1,1,2,0,0,0,0,0,,,,,,,,,,
22,SESS05,Open,2021,7,4,7,5,5,3,5,3,4,4,4,6,5,4,3,2,3,3
23,SESS06,Open,2021,5,2,5,2,1,,,,,,,,,,,,,
24,SESS07,Open,2021,1,1,2,2,1,4,1,,,,,,,,,,,
32,SESS08,Open,2021,3,4,2,3,1,2,0,0,0,,,,,,,,,
33,SESS01,Birds & insects,2021,2,1,1,1,0,0,0,0,0,,,,,,,,,
34,SESS02,Birds & insects,2021,0,0,0,0,0,,,,,,,,,,,,,
35,SESS03,Birds & insects,2021,1,1,2,3,4,2,3,,,,,,,,,,,
36,SESS04,Birds & insects,2021,2,1,0,0,0,0,0,0,0,0,,,,,,,,
37,SESS05,Birds & insects,2021,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,SESS06,Birds & insects,2021,3,3,3,,,,,,,,,,,,,,,
39,SESS07,Birds & insects,2021,2,2,3,2,1,3,1,2,1,3,1,1,,,,,,
40,SESS08,Birds & insects,2021,3,5,3,3,2,5,3,1,5,3,2,3,2,4,1,,,
41,SESS01,Insects only,2021,1,1,0,0,0,0,0,,,,,,,,,,,
42,SESS02,Insects only,2021,,,,,,,,,,,,,,,,,,
43,SESS03,Insects only,2021,1,0,0,0,0,,,,,,,,,,,,,
44,SESS04,Insects only,2021,,,,,,,,,,,,,,,,,,
45,SESS05,Insects only,2021,1,2,1,0,3,1,0,1,3,,,,,,,,,
46,SESS06,Insects only,2021,5,2,2,2,2,,,,,,,,,,,,,
47,SESS07,Insects only,2021,2,1,0,0,0,0,0,,,,,,,,,,,
48,SESS08,Insects only,2021,3,3,2,2,2,2,1,,,,,,,,,,,
49,SESS01,Mammals only,2021,0,0,0,,,,,,,,,,,,,,,
50,SESS02,Mammals only,2021,1,0,0,0,0,,,,,,,,,,,,,
51,SESS03,Mammals only,2021,0,0,0,,,,,,,,,,,,,,,
52,SESS04,Mammals only,2021,0,0,0,0,0,0,,,,,,,,,,,,
53,SESS05,Mammals only,2021,3,1,0,3,,,,,,,,,,,,,,
54,SESS06,Mammals only,2021,1,2,2,1,1,1,,,,,,,,,,,,
55,SESS07,Mammals only,2021,0,0,0,0,0,0,0,,,,,,,,,,,
56,SESS08,Mammals only,2021,1,2,3,3,2,0,0,0,,,,,,,,,,
