,Plant.ID,treatment,Year,infl.1,infl.2,infl.3,infl.4,infl.5,infl.6,infl.7,infl.8,infl.9,infl.10,infl.11,infl.12,infl.13,infl.14,infl.15,infl.16,infl.17,infl.18
1,SUB01,Autogamy,2021,,,,,,,,,,,,,,,,,,
2,SUB02,Autogamy,2021,,,,,,,,,,,,,,,,,,
3,SUB03,Autogamy,2021,,,,,,,,,,,,,,,,,,
4,SUB04,Autogamy,2021,0,0,,,,,,,,,,,,,,,,
5,SUB05,Autogamy,2021,0,0,,,,,,,,,,,,,,,,
6,SUB06,Autogamy,2021,,,,,,,,,,,,,,,,,,
7,SUB07,Autogamy,2021,,,,,,,,,,,,,,,,,,
8,SUB08,Autogamy,2021,0,0,,,,,,,,,,,,,,,,
9,SUB09,Autogamy,2021,0,0,,,,,,,,,,,,,,,,
10,SUB10,Autogamy,2021,0,0,,,,,,,,,,,,,,,,
11,SUB11,Autogamy,2021,0,0,,,,,,,,,,,,,,,,
12,SUB12,Autogamy,2021,0,0,0,,,,,,,,,,,,,,,
13,SUB13,Autogamy,2021,0,0,0,,,,,,,,,,,,,,,
14,SUB14,Autogamy,2021,0,0,0,,,,,,,,,,,,,,,
15,SUB15,Autogamy,2021,,,,,,,,,,,,,,,,,,
16,SUB16,Autogamy,2021,0,,,,,,,,,,,,,,,,,
17,SUB17,Autogamy,2021,0,0,0,,,,,,,,,,,,,,,
18,SUB18,Autogamy,2021,0,0,,,,,,,,,,,,,,,,
19,SUB19,Autogamy,2021,0,0,,,,,,,,,,,,,,,,
20,SUB20,Autogamy,2021,,,,,,,,,,,,,,,,,,
21,SUB01,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
22,SUB02,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
23,SUB03,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
24,SUB04,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
25,SUB05,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
26,SUB06,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
27,SUB07,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
28,SUB08,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
29,SUB09,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
30,SUB10,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
31,SUB11,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
32,SUB12,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
33,SUB13,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
34,SUB14,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
35,SUB15,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
36,SUB16,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
37,SUB17,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
38,SUB18,Geitonogamy,2021,0,0,0,0,,,,,,,,,,,,,,
39,SUB19,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
40,SUB20,Geitonogamy,2021,,,,,,,,,,,,,,,,,,
61,SUB01,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
62,SUB02,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
63,SUB03,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
64,SUB04,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
65,SUB05,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
66,SUB06,Pollen suppl.,2021,0,,,,,,,,,,,,,,,,,
67,SUB07,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
68,SUB08,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
69,SUB09,Pollen suppl.,2021,0,,,,,,,,,,,,,,,,,
70,SUB10,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
71,SUB11,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
72,SUB12,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
73,SUB13,Pollen suppl.,2021,0,0,0,0,0,,,,,,,,,,,,,
74,SUB14,Pollen suppl.,2021,0,,,,,,,,,,,,,,,,,
75,SUB15,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
76,SUB16,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
77,SUB17,Pollen suppl.,2021,,,,,,,,,,,,,,,,,,
78,SUB18,Pollen suppl.,2021,0,0,0,,,,,,,,,,,,,,,
79,SUB19,Pollen suppl.,2021,2,0,0,0,0,0,0,,,,,,,,,,,
80,SUB20,Pollen suppl.,2021,1,2,,,,,,,,,,,,,,,,
41,SUB01,Open,2021,1,0,0,,,,,,,,,,,,,,,
42,SUB02,Open,2021,,,,,,,,,,,,,,,,,,
43,SUB03,Open,2021,,,,,,,,,,,,,,,,,,
44,SUB04,Open,2021,0,0,0,0,1,1,,,,,,,,,,,,
45,SUB05,Open,2021,2,1,,,,,,,,,,,,,,,,
46,SUB06,Open,2021,,,,,,,,,,,,,,,,,,
47,SUB07,Open,2021,,,,,,,,,,,,,,,,,,
48,SUB08,Open,2021,3,0,0,0,0,0,,,,,,,,,,,,
49,SUB09,Open,2021,,,,,,,,,,,,,,,,,,
50,SUB10,Open,2021,3,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,
51,SUB11,Open,2021,1,1,,,,,,,,,,,,,,,,
52,SUB12,Open,2021,,,,,,,,,,,,,,,,,,
53,SUB13,Open,2021,,,,,,,,,,,,,,,,,,
54,SUB14,Open,2021,,,,,,,,,,,,,,,,,,
55,SUB15,Open,2021,,,,,,,,,,,,,,,,,,
56,SUB16,Open,2021,2,0,0,0,0,0,0,0,0,,,,,,,,,
57,SUB17,Open,2021,,,,,,,,,,,,,,,,,,
58,SUB18,Open,2021,,,,,,,,,,,,,,,,,,
59,SUB19,Open,2021,,,,,,,,,,,,,,,,,,
60,SUB20,Open,2021,2,0,0,0,0,,,,,,,,,,,,,
81,SUB01,Birds & insects,2021,,,,,,,,,,,,,,,,,,
82,SUB02,Birds & insects,2021,,,,,,,,,,,,,,,,,,
83,SUB03,Birds & insects,2021,0,0,0,0,0,0,2,2,3,2,,,,,,,,
84,SUB04,Birds & insects,2021,,,,,,,,,,,,,,,,,,
85,SUB05,Birds & insects,2021,,,,,,,,,,,,,,,,,,
86,SUB06,Birds & insects,2021,,,,,,,,,,,,,,,,,,
87,SUB07,Birds & insects,2021,0,0,,,,,,,,,,,,,,,,
88,SUB08,Birds & insects,2021,,,,,,,,,,,,,,,,,,
89,SUB09,Birds & insects,2021,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
90,SUB10,Birds & insects,2021,,,,,,,,,,,,,,,,,,
91,SUB11,Birds & insects,2021,,,,,,,,,,,,,,,,,,
92,SUB12,Birds & insects,2021,,,,,,,,,,,,,,,,,,
93,SUB13,Birds & insects,2021,,,,,,,,,,,,,,,,,,
94,SUB14,Birds & insects,2021,,,,,,,,,,,,,,,,,,
95,SUB15,Birds & insects,2021,,,,,,,,,,,,,,,,,,
96,SUB16,Birds & insects,2021,,,,,,,,,,,,,,,,,,
97,SUB17,Birds & insects,2021,1,0,0,0,0,0,0,0,0,,,,,,,,,
98,SUB18,Birds & insects,2021,,,,,,,,,,,,,,,,,,
99,SUB19,Birds & insects,2021,,,,,,,,,,,,,,,,,,
100,SUB20,Birds & insects,2021,,,,,,,,,,,,,,,,,,
